species_old,species,Genus,Family,Order,Jetz_Order,Jetz_Family,Jetz_Genus,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Tail.Length,Mass,ExtinctionType,ExtinctionPeriod,IslandEndemic,Isl_group_map,LAT,LON,Isl_group_map2,LAT2,LON2,Isl_group_map3,LAT3,LON3
Rallus eivissensis,Rallus_eivissensis,Rallus,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Rallus,40.81,25.22,3.69,6.62,35.24,110.14,24.92,40.08,149.06,EP,EP,Yes,Balearic Islands,39.004513,1.454337,NA,NA,NA,NA,NA,NA
Rallus gracilipes,Rallus_gracilipes,Rallus,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Rallus,49.48,29.93,4.3,7.89,44.09,143.06,30.09,53.65,229.78,EPU,EP,Yes,"Bahamas, Turks and Caicos",23.358701,-75.150565,NA,NA,NA,NA,NA,NA
Rallus ibycus,Rallus_ibycus,Rallus,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Rallus,39.66,24.44,3.65,6.42,33.4,115.19,24.74,42.58,127.82,EPU,EP,Yes,Bermuda,32.312663,-64.741509,NA,NA,NA,NA,NA,NA
Rallus lowei,Rallus_lowei,Rallus,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Rallus,40.42,24.93,3.73,6.88,35.09,114.5,24.1,43.76,161.05,EP,EP,Yes,Madeira,32.764014,-16.932176,NA,NA,NA,NA,NA,NA
Rallus montivagorum,Rallus_montivagorum,Rallus,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Rallus,39.08,23.97,3.54,6.43,34.41,107.47,24.38,39.68,141.82,EP,EP,Yes,Azores,38.436955,-28.2947,NA,NA,NA,NA,NA,NA
Rallus nanus,Rallus_nanus,Rallus,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Rallus,33.99,21.29,3.2,5.66,28.94,96.58,21.44,36.73,96.73,EP,EP,Yes,Azores,38.436955,-28.2947,NA,NA,NA,NA,NA,NA
Rallus natator,Rallus_natator,Rallus,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Rallus,56.32,33.64,4.64,8.65,54.7,164.07,31.22,61.61,299.39,EP,EP,No,continental_Nearctic,49.060652,-103.045295,NA,NA,NA,NA,NA,NA
Rallus recessus,Rallus_recessus,Rallus,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Rallus,48.76,29.7,4.35,8.1,42.74,142.57,30.07,53.27,243.41,EPU,EP,Yes,Bermuda,32.312663,-64.741509,NA,NA,NA,NA,NA,NA
Rallus sp./Caicos,Rallus_sp./Caicos,Rallus,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Rallus,43.76,26.58,3.84,6.95,38.92,126.57,26.95,47.43,162.1,EP,EP,Yes,"Bahamas, Turks and Caicos",23.358701,-75.150565,NA,NA,NA,NA,NA,NA
Rallus sp./Graciosa,Rallus_sp./Graciosa,Rallus,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Rallus,41.61,25.31,3.67,6.66,36.54,120.91,26.02,45.04,143.95,EP,EP,Yes,Azores,38.436955,-28.2947,NA,NA,NA,NA,NA,NA
Rallus sp./LongIsland,Rallus_sp./LongIsland,Rallus,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Rallus,43.77,26.6,3.86,6.99,38.87,126.98,27.01,47.34,162.1,EPU,EP,Yes,"Bahamas, Turks and Caicos",23.358701,-75.150565,NA,NA,NA,NA,NA,NA
Rallus sp./Madeira,Rallus_sp./Madeira,Rallus,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Rallus,45.29,27.43,3.98,7.27,39.8,131.88,27.68,49.16,179.7,EP,EP,Yes,Madeira,32.764014,-16.932176,NA,NA,NA,NA,NA,NA
Rallus sp./SantaMaria,Rallus_sp./SantaMaria,Rallus,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Rallus,41.96,25.56,3.73,6.75,37.54,121.28,25.59,46.28,153.78,EP,EP,Yes,Azores,38.436955,-28.2947,NA,NA,NA,NA,NA,NA
Rallus sp./Terceira,Rallus_sp./Terceira,Rallus,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Rallus,39.08,23.73,3.5,6.34,34.66,112.11,24.23,42.57,131.93,EP,EP,Yes,Azores,38.436955,-28.2947,NA,NA,NA,NA,NA,NA
Raphus cucullatus,Raphus_cucullatus,Raphus,Columbidae,Columbiformes,COLUMBIFORMES,Columbidae,Extinct,125.34,81.28,26.27,40.08,107.26,623.3,108.29,470.31,12450,EH,EH,Yes,Mascarene Islands,-20.143514,59.622511,NA,NA,NA,NA,NA,NA
Rhodacanthis flaviceps,Rhodacanthis_flaviceps,Rhodacanthis,Fringillidae,Passeriformes,PASSERIFORMES,Fringillidae,Extinct,20.45,14.45,9.2,13.15,22.98,91.4,21.1,54.8,47.33,EH,EH,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Rhodacanthis forfex,Rhodacanthis_forfex,Rhodacanthis,Fringillidae,Passeriformes,PASSERIFORMES,Fringillidae,Extinct,22.52,15.71,9.3,12.08,24.81,101.25,23.23,64.94,52.06,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Rhodacanthis litotes,Rhodacanthis_litotes,Rhodacanthis,Fringillidae,Passeriformes,PASSERIFORMES,Fringillidae,Extinct,20.75,14.42,8.78,11.39,23.59,95.91,22.41,61.52,45.89,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
