species,Order,Family,Genus,Jetz_Order,Jetz_Family,Jetz_Genus,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Tail.Length,Mass,ExtinctionType,ExtinctionPeriod,ExtinctionPeriodMap,IslandEndemic,Isl_group_map,LAT,LON,Isl_group_map2,LAT2,LON2,Isl_group_map3,LAT3,LON3
Zapornia_menehune,Gruiformes,Rallidae,Zapornia,GRUIFORMES,Rallidae,Porzana,15.31,8.84,2.32,4.2,20.58,64.04,16.88,28.68,27.65,EX_A,EX_Other,EX_Other,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Zapornia_monasa,Gruiformes,Rallidae,Zapornia,GRUIFORMES,Rallidae,Porzana,21.65,12.4,3.08,5.77,31.53,91.3,21.95,38.89,64.71,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Caroline Islands,6.99127,154.78056,NA,NA,NA,NA,NA,NA
Zapornia_nigra,Gruiformes,Rallidae,Zapornia,GRUIFORMES,Rallidae,Porzana,21.33,12.16,3.04,5.66,30.47,89.67,21.81,37.67,60,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Society Islands,-17.208191,-151.278983,NA,NA,NA,NA,NA,NA
Zapornia_palmeri,Gruiformes,Rallidae,Zapornia,GRUIFORMES,Rallidae,Porzana,21.62,11.57,2.83,5.03,23.35,59.55,15.07,23.35,46.3,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Zapornia_piercei,Gruiformes,Rallidae,Zapornia,GRUIFORMES,Rallidae,Porzana,18.46,10.71,2.75,5.05,24.54,79.09,21.17,32.23,43.14,EX_U,EX_Other,EX_Other,Yes,Bermuda,32.312663,-64.741509,NA,NA,NA,NA,NA,NA
Zapornia_ralphorum,Gruiformes,Rallidae,Zapornia,GRUIFORMES,Rallidae,Porzana,22.17,12.65,3.18,6.05,32.87,92,21.88,39.34,75.63,EX_A,EX_Other,EX_Other,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Zapornia_rua,Gruiformes,Rallidae,Zapornia,GRUIFORMES,Rallidae,Porzana,20.15,11.7,3.1,5.82,30.22,81.03,19.2,34.86,69.14,EX_A,EX_Other,EX_Other,Yes,Cook Islands,-20.219417,-158.905882,NA,NA,NA,NA,NA,NA
Zapornia_sandwichensis,Gruiformes,Rallidae,Zapornia,GRUIFORMES,Rallidae,Porzana,19.05,9.87,2.46,4.49,27.94,68.58,17.2,13.97,34.45,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Zapornia_severnsi,Gruiformes,Rallidae,Zapornia,GRUIFORMES,Rallidae,Porzana,24.12,13.57,3.33,6.46,35.32,99.67,21.29,41.13,83.82,EX_A,EX_Other,EX_Other,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Zapornia_sp_Aguijan,Gruiformes,Rallidae,Zapornia,GRUIFORMES,Rallidae,Porzana,17.91,10.17,2.59,4.72,25.84,75.69,18.84,31.73,35,EX_A,EX_Other,EX_Other,Yes,Mariana Islands,15.99253,145.811136,NA,NA,NA,NA,NA,NA
Zapornia_sp_EasterIsland,Gruiformes,Rallidae,Zapornia,GRUIFORMES,Rallidae,Porzana,22.17,12.64,3.14,5.86,31.49,93.08,22.58,39.23,67.35,EX_A,EX_Other,EX_Other,Yes,Easter Island,-27.098473,-109.357475,NA,NA,NA,NA,NA,NA
Zapornia_sp_Guam,Gruiformes,Rallidae,Zapornia,GRUIFORMES,Rallidae,Porzana,17.92,10.18,2.58,4.71,25.84,75.65,18.85,31.7,35,EX_A,EX_Other,EX_Other,Yes,Mariana Islands,15.99253,145.811136,NA,NA,NA,NA,NA,NA
Zapornia_sp_Hawaii_Large,Gruiformes,Rallidae,Zapornia,GRUIFORMES,Rallidae,Porzana,23.78,13.47,3.34,6.3,33.43,99,23.1,41.93,79.24,EX_A,EX_Other,EX_Other,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Zapornia_sp_Hawaii_Small,Gruiformes,Rallidae,Zapornia,GRUIFORMES,Rallidae,Porzana,19.86,11.38,2.85,5.26,28.26,83.75,20.86,34.79,49.35,EX_A,EX_Other,EX_Other,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Zapornia_sp_Kauai_Great,Gruiformes,Rallidae,Zapornia,GRUIFORMES,Rallidae,Porzana,23.13,13.18,3.28,6.16,33.35,96.85,22.79,41.35,76.15,EX_A,EX_Other,EX_Other,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
