species,species_BirdLife,Extant,ExtinctionPeriod,ExtinctionType,IslandEndemic,IUCN,GenLength,IslandEndemic2
Bubo_ascalaphus,Bubo_ascalaphus,Extant,Current,Current,No,LC,10.978,No
Bubo_cinerascens,Bubo_cinerascens,Extant,Current,Current,No,LC,5.037,No
Bubo_poensis,Bubo_poensis,Extant,Current,Current,No,LC,5.593,No
Bubo_bubo,Bubo_bubo,Extant,Current,Current,No,LC,10.926,No
Bubo_sp_Eivissa,Bubo_sp_Eivissa,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Bubo_insularis,Bubo_insularis,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Ketupa_blakistoni,Bubo_blakistoni,Extant,Current,Current,No,EN,7.228,No
Ketupa_zeylonensis,Ketupa_zeylonensis,Extant,Current,Current,No,LC,7.489,No
Ketupa_flavipes,Ketupa_flavipes,Extant,Current,Current,No,LC,9.354,No
Ketupa_ketupu,Ketupa_ketupu,Extant,Current,Current,No,LC,8.098,No
Bubo_vosseleri,Bubo_poensis,Extant,Current,Current,No,LC,5.593,No
Bubo_nipalensis,Bubo_nipalensis,Extant,Current,Current,No,LC,8.259,No
Bubo_lacteus,Bubo_lacteus,Extant,Current,Current,No,LC,8.469,No
Bubo_shelleyi,Bubo_shelleyi,Extant,Current,Current,No,VU,7.206,No
Bubo_leucostictus,Bubo_leucostictus,Extant,Current,Current,No,LC,5.324,No
Bubo_sumatranus,Bubo_sumatranus,Extant,Current,Current,No,LC,7.505,No
Strix_rufipes,Strix_rufipes,Extant,Current,Current,No,LC,6.08,No
Strix_varia,Strix_varia,Extant,Current,Current,No,LC,6.405,No
Strix_ocellata,Strix_ocellata,Extant,Current,Current,No,LC,6.564,No
Strix_virgata,Ciccaba_virgata,Extant,Current,Current,No,LC,5.673,No
Strix_occidentalis,Strix_occidentalis,Extant,Current,Current,No,NT,6.652,No
Strix_fulvescens,Strix_fulvescens,Extant,Current,Current,No,LC,6.627,No
Strix_huhula,Ciccaba_huhula,Extant,Current,Current,No,LC,5.333,No
Strix_butleri,Multiple,Extant,Current,Current,No,LC,5.5315,No
Strix_seloputo,Strix_seloputo,Extant,Current,Current,No,LC,7.532,No
Strix_hylophila,Strix_hylophila,Extant,Current,Current,No,NT,5.9,No
Strix_chacoensis,Strix_chacoensis,Extant,Current,Current,No,NT,5.178,No
Strix_albitarsis,Ciccaba_albitarsis,Extant,Current,Current,No,LC,5.93,No
Strix_leptogrammica,Strix_leptogrammica,Extant,Current,Current,No,LC,8.272,No
Strix_nigrolineata,Ciccaba_nigrolineata,Extant,Current,Current,No,LC,6.599,No
Strix_nebulosa,Strix_nebulosa,Extant,Current,Current,No,LC,5.975,No
Strix_aluco,Multiple,Extant,Current,Current,No,LC,5.4875,No
Strix_davidi,Strix_uralensis,Extant,Current,Current,No,LC,9.92,No
Strix_uralensis,Strix_uralensis,Extant,Current,Current,No,LC,9.92,No
Strix_woodfordii,Strix_woodfordii,Extant,Current,Current,No,LC,6.414,No
Ornimegalonyx_oteroi,Ornimegalonyx_oteroi,Extinct,EX_Other,EX_U,Yes,EX,NA,Yes
Ornimegalonyx_ewingi,Ornimegalonyx_ewingi,Extinct,EX_Other,EX_U,Yes,EX,NA,Yes
Oraristrix_brea,Oraristrix_brea,Extinct,EX_Other,EX_A,No,EX,NA,No
Grallistrix_auceps,Grallistrix_auceps,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Grallistrix_orion,Grallistrix_orion,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Grallistrix_geleches,Grallistrix_geleches,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Grallistrix_erdmani,Grallistrix_erdmani,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Jubula_lettii,Jubula_lettii,Extant,Current,Current,No,DD,4.174,No
Pulsatrix_perspicillata,Pulsatrix_perspicillata,Extant,Current,Current,No,LC,8.081,No
Pulsatrix_arredondoi,Pulsatrix_arredondoi,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Pulsatrix_melanota,Pulsatrix_melanota,Extant,Current,Current,No,LC,6.548,No
Pulsatrix_koeniswaldiana,Pulsatrix_koeniswaldiana,Extant,Current,Current,No,LC,6.357,No
Lophostrix_cristata,Lophostrix_cristata,Extant,Current,Current,No,LC,5.848,No
Athene_noctua,Athene_noctua,Extant,Current,Current,No,LC,3.424,No
Athene_angelis,Athene_angelis,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Athene_cretensis,Athene_cretensis,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Athene_brama,Athene_brama,Extant,Current,Current,No,LC,3.496,No
Athene_cunicularia,Athene_cunicularia,Extant,Current,Current,No,LC,3.059,No
Heteroglaux_blewitti,Athene_blewitti,Extant,Current,Current,No,EN,4.845,No
Surnia_ulula,Surnia_ulula,Extant,Current,Current,No,LC,3.258,No
Glaucidium_capense,Glaucidium_capense,Extant,Current,Current,No,LC,3.641,No
Glaucidium_perlatum,Glaucidium_perlatum,Extant,Current,Current,No,LC,3.1,No
